candidate_id,week_id,season,region_type,weather_summary,weekly_condition,avg_temp,rainy_days,outdoor_friendly_days,bad_air_days,mission_title,mission_description,mission_type,is_outdoor,is_group,difficulty,bonus_points,proof_type,novelty_score,safety_score,feasibility_score,participation_score,overall_score,approve_label
HM_0001,2026-W01,spring,residential,mixed / rainy_days=4 / outdoor_days=1,mixed,12.4,4,1,4,이번 주 히든 미션: 절전 챌린지,이번 주 안에 집이나 공동공간에서 전기 절약 행동을 실천하고 인증해보세요.,energy_saving,0,0,1,50,photo,3,5,5,3,4,1
HM_0002,2026-W02,spring,park_area,cold_week / rainy_days=1 / outdoor_days=6,cold_week,14.2,1,6,3,이번 주 히든 미션: 따뜻한 한마디,동네 사람이나 팀원에게 응원과 배려를 실천하고 인증하세요.,kindness_action,0,0,2,60,short_text,2,5,5,4,4,1
HM_0003,2026-W03,spring,mixed_commercial,outdoor_good / rainy_days=3 / outdoor_days=5,outdoor_good,13.6,3,5,0,이번 주 히든 미션: 절전 챌린지,이번 주 안에 집이나 공동공간에서 전기 절약 행동을 실천하고 인증해보세요.,energy_saving,0,0,5,70,group_photo,4,5,4,2,4,1
HM_0004,2026-W04,summer,residential,outdoor_good / rainy_days=0 / outdoor_days=4,outdoor_good,31.7,0,4,2,이번 주 히든 미션: 에너지 세이브,사용하지 않는 전등과 멀티탭을 끄고 절전 인증을 남겨주세요.,energy_saving,0,0,2,70,short_text,3,5,5,3,4,1
HM_0005,2026-W05,fall,residential,cold_week / rainy_days=2 / outdoor_days=6,cold_week,11.4,2,6,4,이번 주 히든 미션: 재활용 점검,집이나 공동공간에서 재활용 가능한 물품을 구분해 인증하세요.,recycling,0,0,1,60,photo,4,5,5,3,4,1
HM_0006,2026-W06,winter,school_area,outdoor_good / rainy_days=5 / outdoor_days=4,outdoor_good,-0.9,5,4,3,이번 주 히든 미션: 절전 챌린지,이번 주 안에 집이나 공동공간에서 전기 절약 행동을 실천하고 인증해보세요.,energy_saving,0,0,3,60,photo,4,5,5,3,4,1
HM_0007,2026-W07,winter,mixed_commercial,mixed / rainy_days=0 / outdoor_days=7,mixed,-3.8,0,7,0,이번 주 히든 미션: 분리수거 실천,이번 주 안에 올바른 분리수거를 실천하고 사진과 짧은 설명을 남겨주세요.,recycling,0,0,4,100,photo,5,5,4,3,4,1
HM_0008,2026-W08,winter,mixed_commercial,cold_week / rainy_days=0 / outdoor_days=6,cold_week,3.8,0,6,4,이번 주 히든 미션: 따뜻한 한마디,동네 사람이나 팀원에게 응원과 배려를 실천하고 인증하세요.,kindness_action,0,0,1,70,short_text,3,5,5,4,4,1
HM_0009,2026-W09,winter,residential,mixed / rainy_days=5 / outdoor_days=3,mixed,-3.6,5,3,4,이번 주 히든 미션: 함께 걷기 챌린지,이번 주 안에 팀원과 함께 동네를 걸으며 건강과 대화를 챙겨보세요.,group_walk,1,1,2,70,photo,3,3,3,3,3,0
HM_0010,2026-W10,fall,mixed_commercial,outdoor_good / rainy_days=1 / outdoor_days=1,outdoor_good,21.8,1,1,1,이번 주 히든 미션: 함께 걷기 챌린지,이번 주 안에 팀원과 함께 동네를 걸으며 건강과 대화를 챙겨보세요.,group_walk,1,1,1,80,photo,4,4,4,3,4,1
HM_0011,2026-W11,summer,mixed_commercial,cold_week / rainy_days=4 / outdoor_days=7,cold_week,29.3,4,7,1,이번 주 히든 미션: 따뜻한 한마디,동네 사람이나 팀원에게 응원과 배려를 실천하고 인증하세요.,kindness_action,0,0,3,80,group_photo,5,5,5,4,5,1
HM_0012,2026-W12,spring,park_area,indoor_preferred / rainy_days=0 / outdoor_days=1,indoor_preferred,10.6,0,1,0,이번 주 히든 미션: 분리수거 실천,이번 주 안에 올바른 분리수거를 실천하고 사진과 짧은 설명을 남겨주세요.,recycling,0,0,1,70,photo,3,5,5,4,4,1
HM_0013,2026-W01,fall,mixed_commercial,indoor_preferred / rainy_days=1 / outdoor_days=7,indoor_preferred,20.4,1,7,3,이번 주 히든 미션: 절전 챌린지,이번 주 안에 집이나 공동공간에서 전기 절약 행동을 실천하고 인증해보세요.,energy_saving,0,0,1,50,group_photo,5,5,5,4,5,1
HM_0014,2026-W02,fall,mixed_commercial,hot_week / rainy_days=0 / outdoor_days=1,hot_week,17.4,0,1,3,이번 주 히든 미션: 이웃 배려 행동,이번 주 안에 이웃을 배려한 작은 행동을 실천하고 후기를 남겨주세요.,kindness_action,0,0,2,60,photo,5,5,5,4,5,1
HM_0015,2026-W03,summer,mixed_commercial,indoor_preferred / rainy_days=4 / outdoor_days=1,indoor_preferred,26.5,4,1,0,이번 주 히든 미션: 함께 걷기 챌린지,이번 주 안에 팀원과 함께 동네를 걸으며 건강과 대화를 챙겨보세요.,group_walk,1,1,1,60,photo,5,2,2,3,3,0
HM_0016,2026-W04,winter,mixed_commercial,indoor_preferred / rainy_days=3 / outdoor_days=3,indoor_preferred,-5.0,3,3,3,이번 주 히든 미션: 따뜻한 한마디,동네 사람이나 팀원에게 응원과 배려를 실천하고 인증하세요.,kindness_action,0,0,5,80,photo,3,5,4,3,4,1
